,,,
,,,
,,,
As of:,"Oct 21, 2016",,
,,,
,,,
Effective date ,Dow Jones Industrial Average Total Return,Dow Jones Industrial Average Net Total Return,Dow Jones Industrial Average
3/21/2007,20250.02,19274.64,12447.52
3/22/2007,20272.17,19295.73,12461.14
3/23/2007,20304.5,19326.49,12481.01
3/26/2007,20285.08,19308.01,12469.07
3/27/2007,20168.3,19196.86,12397.29
3/28/2007,20010.6,19046.76,12300.36
3/29/2007,20089.32,19121.68,12348.75
3/30/2007,20098.45,19130.37,12354.35
4/2/2007,20143.92,19173.65,12382.3
4/3/2007,20358.69,19376.21,12510.3
4/4/2007,20390.83,19406.79,12530.05
4/5/2007,20449.97,19460.2,12560.2
4/6/2007,20449.97,19460.2,12560.2
4/9/2007,20464.53,19474.06,12569.14
4/10/2007,20472.2,19481.36,12573.85
4/11/2007,20326.92,19343.11,12484.62
4/12/2007,20438.2,19449,12552.96
4/13/2007,20534.52,19540.66,12612.13
4/16/2007,20710.9,19708.5,12720.46
4/17/2007,20796.51,19789.97,12773.04
4/18/2007,20846.65,19837.69,12803.84
4/19/2007,20858.43,19847.76,12808.63
4/20/2007,21108.16,20085.39,12961.98
4/23/2007,21038.81,20019.4,12919.4
4/24/2007,21095.06,20072.92,12953.94
4/25/2007,21321.14,20286.72,13089.89
4/26/2007,21346.56,20310.9,13105.5
4/27/2007,21371.71,20334.83,13120.94
4/30/2007,21277.2,20244.9,13062.91
5/1/2007,21396.46,20358.38,13136.14
5/2/2007,21522.09,20477.27,13211.88
5/3/2007,21578.81,20528.76,13241.38
5/4/2007,21616.69,20564.79,13264.62
5/7/2007,21695.49,20639.76,13312.97
5/8/2007,21694.43,20637.24,13309.07
5/9/2007,21793.97,20728.55,13362.87
5/10/2007,21557.59,20502.42,13215.13
5/11/2007,21743.76,20678.07,13326.22
5/14/2007,21777.31,20709.97,13346.78
5/15/2007,21839.11,20768.36,13383.84
5/16/2007,22024.56,20940.08,13487.53
5/17/2007,22006.91,20923.3,13476.73
5/18/2007,22137.23,21047.2,13556.53
5/21/2007,22114.93,21026,13542.88
5/22/2007,22110.16,21021.46,13539.95
5/23/2007,22086.8,20999.25,13525.65
5/24/2007,21954.26,20871.68,13441.13
5/25/2007,22062.31,20974.4,13507.28
5/28/2007,22062.31,20974.4,13507.28
5/29/2007,22085.27,20996.23,13521.34
5/30/2007,22270,21171.22,13633.08
5/31/2007,22261.1,21162.76,13627.64
6/1/2007,22327.21,21225.61,13668.11
6/4/2007,22340.62,21238.36,13676.32
6/5/2007,22211.5,21114.76,13595.46
6/6/2007,22004.47,20916.52,13465.67
6/7/2007,21679.38,20607.51,13266.73
6/8/2007,21937.01,20852.4,13424.39
6/11/2007,21939,20853.99,13424.96
6/12/2007,21726.64,20652.13,13295.01
6/13/2007,22046.68,20952.38,13482.35
6/14/2007,22163.39,21063.3,13553.72
6/15/2007,22303.62,21196.57,13639.48
6/18/2007,22260.29,21155.39,13612.98
6/19/2007,22296.98,21190.26,13635.42
6/20/2007,22058.24,20963.37,13489.42
6/21/2007,22154.23,21053.53,13545.84
6/22/2007,21850.71,20765.09,13360.26
6/25/2007,21837.28,20752.33,13352.05
6/26/2007,21813.75,20729.97,13337.66
6/27/2007,21961.06,20869.95,13427.73
6/28/2007,21952.15,20861.49,13422.28
6/29/2007,21929.81,20840.26,13408.62
7/2/2007,22137.21,21037.36,13535.43
7/3/2007,22212.75,21107.13,13577.3
7/4/2007,22212.75,21107.13,13577.3
7/5/2007,22194,21089.31,13565.84
7/6/2007,22279.15,21167.33,13611.68
7/9/2007,22341.82,21226.87,13649.97
7/10/2007,22099.14,20996.3,13501.7
7/11/2007,22223.8,21114.74,13577.87
7/12/2007,22688.42,21556.17,13861.73
7/13/2007,22762.93,21626.96,13907.25
7/16/2007,22834.51,21694.97,13950.98
7/17/2007,22868.17,21726.95,13971.55
7/18/2007,22790.3,21650.29,13918.22
7/19/2007,22924.87,21778.13,14000.41
7/20/2007,22680.36,21545.84,13851.08
7/23/2007,22831.57,21689.49,13943.42
7/24/2007,22460.73,21337.2,13716.95
7/25/2007,22572.28,21443.17,13785.07
7/26/2007,22062.21,20958.62,13473.57
7/27/2007,21721.46,20634.91,13265.47
